comparison,feature,source_rows,external_rows,source_mean,source_median,source_std,source_p10,source_p25,source_p75,source_p90,external_mean,external_median,external_std,external_p10,external_p25,external_p75,external_p90,ks_statistic,ks_p_value,mean_difference_external_minus_source,median_difference_external_minus_source,is_binary_feature,source_proportion_1,external_proportion_1,absolute_percentage_point_difference_1
legitimate_vs_benign,path_length,134850,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60489,1.0,10.956454651340701,0.0,1.0,1.0,13.0,0.88986,0.0,4.60489,1.0,False,,,
legitimate_vs_benign,number_of_slashes,134850,100000,2.0,2.0,0.0,2.0,2.0,2.0,2.0,3.14825,3.0,0.7876408707535515,2.0,3.0,3.0,4.0,0.88986,0.0,1.14825,1.0,False,,,
legitimate_vs_benign,uses_https_text,134850,100000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.35093,0.0,0.4772634627793428,0.0,0.0,1.0,1.0,0.64907,0.0,-0.64907,-1.0,True,1.0,0.35093,64.90700000000001
legitimate_vs_benign,special_character_count,134850,100000,5.244864664441972,5.0,0.5039173404858767,5.0,5.0,5.0,6.0,6.67065,6.0,1.8768148022215771,5.0,6.0,7.0,9.0,0.6187643121987394,0.0,1.4257853355580279,1.0,False,,,
legitimate_vs_benign,letter_ratio,134850,100000,0.799956840153667,0.8064516129032258,0.0393085814866799,0.75,0.7727272727272727,0.8275862068965517,0.8461538461538461,0.7542854406847844,0.75,0.05144950220522888,0.6875,0.7142857142857143,0.7931034482758621,0.8235294117647058,0.4203881868743048,0.0,-0.045671399468882545,-0.056451612903225756,False,,,
legitimate_vs_benign,domain_length,134850,100000,19.228609566184648,19.0,4.815612058586098,13.0,16.0,22.0,26.0,16.7556,16.0,5.31765657171598,11.0,13.0,20.0,24.0,0.24535968112717838,0.0,-2.473009566184647,-3.0,False,,,
legitimate_vs_benign,number_of_letters,134850,100000,21.93314794215795,22.0,4.782886626741667,16.0,18.0,25.0,28.0,22.25979,19.0,11.213888561461037,14.0,16.0,25.0,32.0,0.18971278828327776,0.0,0.32664205784204725,-3.0,False,,,
legitimate_vs_benign,number_of_subdomains,134850,100000,1.1616611049314052,1.0,0.40407592606077336,1.0,1.0,1.0,2.0,1.09911,1.0,0.6412108229070951,0.0,1.0,1.0,2.0,0.14102,0.0,-0.06255110493140514,0.0,False,,,
legitimate_vs_benign,number_of_dots,134850,100000,2.1616611049314054,2.0,0.40407592606077336,2.0,2.0,2.0,3.0,2.18579,2.0,0.7324188967212703,1.0,2.0,3.0,3.0,0.13719,0.0,0.024128895068594503,0.0,False,,,
legitimate_vs_benign,url_length,134850,100000,27.228609566184648,27.0,4.815612058586098,21.0,24.0,30.0,34.0,29.07606,26.0,13.124575323459965,20.0,22.0,32.0,40.0,0.12363265480163144,0.0,1.8474504338153501,-1.0,False,,,
legitimate_vs_benign,number_of_hyphens,134850,100000,0.0832035595105673,0.0,0.31018494461603685,0.0,0.0,0.0,0.0,0.2428,0.0,0.8339275234402229,0.0,0.0,0.0,1.0,0.07247892843900627,9.429231126234049e-263,0.1595964404894327,0.0,False,,,
