feature,internal_mean,external_mean,mean_difference_external_minus_internal,internal_median,external_median,internal_std,external_std,ks_statistic,ks_p_value,internal_q05,external_q05,internal_q25,external_q25,internal_q75,external_q75,internal_q95,external_q95
path_length,3.735325176530461,6.391380789022299,2.656055612491838,0.0,1.0,23.501818358695907,17.589085603403426,0.6378645738330497,0.0,0.0,0.0,0.0,1.0,1.0,4.0,24.0,31.0
number_of_slashes,2.4363281664157426,3.2150257289879933,0.7786975625722508,2.0,3.0,1.0458394804474433,0.9305273445581429,0.637860332861019,0.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0
special_character_count,6.27504824105685,7.001706689536878,0.7266584484800278,5.0,6.0,4.88810855112926,3.9956050311017455,0.4053100683403909,0.0,5.0,5.0,5.0,6.0,6.0,7.0,10.0,11.0
uses_https_text,0.7805339383786764,0.4311406518010292,-0.3493932865776472,1.0,0.0,0.4138857763953087,0.495237815196273,0.3493932865776473,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
letter_ratio,0.7773891021891898,0.752509555827785,-0.02487954636140477,0.7931034482758621,0.75,0.07440260746676788,0.0590618348349041,0.2960247272311178,0.0,0.6176470588235294,0.6666666666666666,0.759493670886076,0.7142857142857143,0.8214285714285714,0.7931034482758621,0.8529411764705882,0.8387096774193549
domain_length,21.468898831612204,17.405368782161236,-4.063530049450968,20.0,16.0,9.149127080248295,6.759329698516323,0.24602616192358556,0.0,12.0,9.0,16.0,13.0,24.0,21.0,38.0,29.0
number_of_letters,27.205733794185626,25.00680960548885,-2.1989241886967754,23.0,20.0,28.674248207678232,22.396379690708915,0.17364451805080997,0.0,15.0,13.0,19.0,16.0,28.0,27.0,55.0,50.0
url_length,35.36695434593609,32.952521440823325,-2.4144329051127613,28.0,27.0,41.21434633341828,29.3699893730255,0.13055085898415192,0.0,20.0,19.0,24.0,22.0,35.0,34.0,74.0,64.0
number_of_dots,2.257142857142857,2.1489879931389364,-0.10815486400392071,2.0,2.0,0.9226781030785033,0.7505649326366417,0.11191520369195893,0.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0
number_of_subdomains,1.1595368858542379,1.0482675814751286,-0.11126930437910931,1.0,1.0,0.6023093741755967,0.6431240997811074,0.10312874219862102,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0
digit_ratio,0.028384615230521604,0.0131263551369804,-0.015258260093541203,0.0,0.0,0.07027913253989661,0.047709126011155824,0.10062119892424803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1774193548387097,0.0975609756097561
number_of_digits,1.886172310693611,0.9439879931389366,-0.9421843175546745,0.0,0.0,11.89310167408509,5.947689751844003,0.1001223051232435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0
suspicious_keyword_count,0.043287601518267986,0.01295025728987993,-0.030337344228388054,0.0,0.0,0.28746544778621486,0.12685877686600094,0.019603368728476345,1.7814080000235557e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_suspicious_keyword,0.03140439788799593,0.011801029159519725,-0.019603368728476202,0.0,0.0,0.17440840198914842,0.10799011476190666,0.019603368728476345,1.7814080000235557e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_equal_signs,0.06329650755953264,0.0795368782161235,0.016240370656590855,0.0,0.0,0.936883393215817,0.49260933741515894,0.01601795113258131,8.092235808424801e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query_length,2.2129773744142156,1.6005746140651802,-0.6124027603490354,0.0,0.0,24.8808916535059,19.273675386819683,0.013025391237853512,6.300869014551897e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_underscores,0.034949850505735916,0.053799313893653514,0.018849463387917598,0.0,0.0,0.5517448797075766,0.48371198071264676,0.01237297188515607,8.367525918391463e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_query_parameters,0.06053139379545792,0.07540308747855917,0.014871693683101254,0.0,0.0,0.5539773558364709,0.4703678836573369,0.012109259624124014,2.2920549270846185e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_question_marks,0.02945355075383278,0.03837907375643225,0.00892552300259947,0.0,0.0,0.19362912841310984,0.19994196460136882,0.011867901759446853,5.655792417318549e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_hyphens,0.3502491571068089,0.3416895368782161,-0.008559620228592746,0.0,0.0,1.5217630553414692,0.9782396769056956,0.011436353939595745,2.7176075845683544e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
known_shortener_domain,0.0022943658686570964,0.009408233276157805,0.007113867407500709,0.0,0.0,0.04784465970174229,0.09653910271200561,0.00711386740750064,0.0007403443446877101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_ampersands,0.036120358786233805,0.04086620926243568,0.0047458504762018724,0.0,0.0,0.4704440488465652,0.3599171103972369,0.006676728124267783,0.0018971296764427712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_at_symbols,0.007324158697173392,0.0016380789022298456,-0.005686079794943546,0.0,0.0,0.10051630495545073,0.04189843989867501,0.004813100253487246,0.05366997516112182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
domain_is_ip,0.00257851099471999,0.00011149228130360206,-0.002467018713416388,0.0,0.0,0.0507136390235638,0.010558447180855982,0.00246701871341648,0.7283317843510038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_of_percent_symbols,0.02505566275790411,0.04841337907375643,0.02335771631585232,0.0,0.0,0.8364475373030874,2.6389623698234246,0.0007600269254441905,0.9999999999822804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_port,0.00011026527280052588,0.0003687821612349914,0.0002585168884344655,0.0,0.0,0.010500170567781146,0.01920024277478138,0.00025851688843436804,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
