leaf_node_id,phiusiil_training_sample_count,phiusiil_training_phishing_count,phiusiil_training_legitimate_count,training_phishing_proportion,predicted_class,external_benign_count,external_phishing_count,external_benign_false_positive_count,decision_path
136,51406,51406,0,1.0,0,88986,15270,88986,number_of_slashes > 2.500000
2,32477,32477,0,1.0,0,3056,859,3056,number_of_slashes <= 2.500000 AND uses_https_text <= 0.500000
5,302,302,0,1.0,0,1406,55,1406,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots <= 1.500000
54,29,19,10,0.6551724137931034,0,5,27,5,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length <= 36.500000 AND digit_ratio > 0.013889 AND number_of_digits <= 4.500000 AND number_of_hyphens > 0.500000 AND number_of_letters > 17.500000 AND number_of_hyphens > 1.500000
133,43,43,0,1.0,0,5,1,5,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length > 46.500000 AND number_of_digits <= 0.500000 AND special_character_count > 5.500000 AND number_of_letters > 45.500000 AND number_of_subdomains <= 3.500000
135,469,469,0,1.0,0,3,41,3,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length > 46.500000 AND number_of_digits > 0.500000
129,21,17,4,0.8095238095238095,0,3,0,3,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length > 46.500000 AND number_of_digits <= 0.500000 AND special_character_count > 5.500000 AND number_of_letters <= 45.500000 AND number_of_letters > 41.500000 AND letter_ratio <= 0.881176 AND special_character_count <= 9.500000 AND number_of_hyphens > 0.500000
72,45,32,13,0.7111111111111111,0,3,24,3,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length > 36.500000 AND letter_ratio <= 0.795163 AND letter_ratio > 0.725330 AND number_of_subdomains <= 2.500000 AND number_of_digits > 0.500000 AND special_character_count > 5.500000
78,69,66,3,0.9565217391304348,0,2,0,2,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length > 36.500000 AND letter_ratio <= 0.795163 AND letter_ratio > 0.725330 AND number_of_subdomains > 2.500000 AND number_of_hyphens > 0.500000 AND url_length <= 38.500000
79,36,27,9,0.75,0,2,0,2,number_of_slashes <= 2.500000 AND uses_https_text > 0.500000 AND url_length <= 46.500000 AND number_of_dots > 1.500000 AND url_length > 36.500000 AND letter_ratio <= 0.795163 AND letter_ratio > 0.725330 AND number_of_subdomains > 2.500000 AND number_of_hyphens > 0.500000 AND url_length > 38.500000
