analysis,seed,sample_rows,phishing_rows,legitimate_rows,accuracy,phishing_precision,phishing_recall,phishing_f1,roc_auc,pr_auc
full_external,,116600.0,16600.0,100000.0,0.19650943396226414,0.14920591581342435,0.9875903614457832,0.2592449100612769,0.5245679499999999,0.14862740181402137
balanced_sample,42.0,33200.0,16600.0,16600.0,0.5251807228915663,0.5130821231847772,0.9875903614457832,0.6753171856978085,0.5233051404412832,0.5119237365143139
balanced_sample,43.0,33200.0,16600.0,16600.0,0.5257530120481928,0.5133874048789653,0.9875903614457832,0.6755815630601859,0.5238878175352011,0.5122293445749556
balanced_sample,44.0,33200.0,16600.0,16600.0,0.5271987951807229,0.5141602634467618,0.9875903614457832,0.6762503867175416,0.525435551241109,0.5130463648751336
balanced_sample,45.0,33200.0,16600.0,16600.0,0.5274698795180723,0.5143054335550257,0.9875903614457832,0.6763759386087961,0.5256880588619538,0.5131776565159938
balanced_sample,46.0,33200.0,16600.0,16600.0,0.5262951807228916,0.5136769544101519,0.9875903614457832,0.6758322168401525,0.5245264552184643,0.5125658313607585
balanced_mean,,33200.0,16600.0,16600.0,0.5263795180722892,0.5137224358951364,0.9875903614457832,0.675871458184897,0.5245686046596022,0.512588586768231
balanced_std,,33200.0,16600.0,16600.0,0.0009613578333418301,0.0005137835027322439,0.0,0.00044465840466627375,0.0010082613254335405,0.0005310749911784576
balanced_min,,33200.0,16600.0,16600.0,0.5251807228915663,0.5130821231847772,0.9875903614457832,0.6753171856978085,0.5233051404412832,0.5119237365143139
balanced_max,,33200.0,16600.0,16600.0,0.5274698795180723,0.5143054335550257,0.9875903614457832,0.6763759386087961,0.5256880588619538,0.5131776565159938
