feature_name,comparison_type,candidate_name,label_group,scheme_group,compared_rows,exact_match_count,exact_match_percentage,mae,median_absolute_error,pearson_correlation,modal_delta,modal_delta_count,top_delta_distribution
URLLength,current_mapping,url_length,all,all,235795,48644,20.629784346572233,0.7938590724994169,1.0,0.999953373887072,-1.0,187149,-1:187149; 0:48644; -4:1; -35:1
URLLength,current_mapping,url_length,phishing,all,100945,48644,48.18861756402001,0.5184803605924018,1.0,0.9999656477423668,-1.0,52299,-1:52299; 0:48644; -4:1; -35:1
URLLength,current_mapping,url_length,legitimate,all,134850,0,0.0,1.0,1.0,1.0,-1.0,134850,-1:134850
URLLength,current_mapping,url_length,all,http,51749,18148,35.069276700999055,0.6493072329900095,1.0,0.9999423882165054,-1.0,33601,-1:33601; 0:18148
URLLength,current_mapping,url_length,all,https,184046,30496,16.569770600828054,0.8345033306890669,1.0,0.9999589983864012,-1.0,153548,-1:153548; 0:30496; -4:1; -35:1
DomainLength,current_mapping,domain_length,all,all,235795,235759,99.98473250068915,0.0014970631268686784,0.0,0.9998353227553248,0.0,235759,0:235759; 5:14; 4:10; 6:2; 19:1
DomainLength,current_mapping,domain_length,phishing,all,100945,100909,99.96433701520631,0.0034969537867155383,0.0,0.9997837494276457,0.0,100909,0:100909; 5:14; 4:10; 6:2; 19:1
DomainLength,current_mapping,domain_length,legitimate,all,134850,134850,100.0,0.0,0.0,1.0,0.0,134850,0:134850
IsDomainIP,current_mapping,domain_is_ip,all,all,235795,235765,99.98727708390763,0.00012722916092368372,0.0,0.9761436863412627,0.0,235765,0:235765; 1:30
IsDomainIP,current_mapping,domain_is_ip,phishing,all,100945,100915,99.97028084600525,0.00029719153994749615,0.0,0.9760599998126408,0.0,100915,0:100915; 1:30
IsDomainIP,current_mapping,domain_is_ip,legitimate,all,134850,134850,100.0,0.0,0.0,,0.0,134850,0:134850
NoOfSubDomain,current_mapping,number_of_subdomains,all,all,235795,235179,99.73875612290337,0.005220636569901822,0.0,0.985611344722764,0.0,235179,0:235179; 2:613; 1:2; 3:1
NoOfSubDomain,current_mapping,number_of_subdomains,phishing,all,100945,100329,99.38976670464113,0.012194759522512259,0.0,0.980677346339207,0.0,100329,0:100329; 2:613; 1:2; 3:1
NoOfSubDomain,current_mapping,number_of_subdomains,legitimate,all,134850,134850,100.0,0.0,0.0,1.0,0.0,134850,0:134850
