supplied_feature,reconstructed_feature,feature_type,compared_rows,exact_match_count,exact_match_percentage,near_match_count,near_match_percentage,mismatch_count,mae,median_absolute_error,pearson_correlation,near_match_tolerance
URLLength,url_length,discrete,235795,48644,20.629784346572233,48644,20.629784346572233,187151,0.7938590724994169,1.0,0.999953373887072,0.0
DomainLength,domain_length,discrete,235795,235759,99.98473250068915,235759,99.98473250068915,36,0.0014970631268686784,0.0,0.9998353227553248,0.0
IsDomainIP,domain_is_ip,discrete,235795,235765,99.98727708390763,235765,99.98727708390763,30,0.00012722916092368372,0.0,0.9761436863412627,0.0
NoOfSubDomain,number_of_subdomains,discrete,235795,235179,99.73875612290337,235179,99.73875612290337,616,0.005220636569901822,0.0,0.985611344722764,0.0
NoOfLettersInURL,number_of_letters,discrete,235795,0,0.0,0,0.0,235795,7.776814605907674,9.0,0.998259659851523,0.0
LetterRatioInURL,letter_ratio,continuous,235795,0,0.0,2,0.0008481944061578914,235795,0.26144359019784136,0.2813333333333333,0.5061829025351655,0.001
NoOfDegitsInURL,number_of_digits,discrete,235795,234584,99.4864182870714,234584,99.4864182870714,1211,0.005161262961470769,0.0,0.9999813548119266,0.0
DegitRatioInURL,digit_ratio,continuous,235795,186813,79.22687079878709,216987,92.02357980449119,48982,0.0004390733779748912,0.0,0.999628688261295,0.001
NoOfEqualsInURL,number_of_equal_signs,discrete,235795,235546,99.89439979643335,235546,99.89439979643335,249,0.0010560020356665748,0.0,0.9994004044973196,0.0
NoOfQMarkInURL,number_of_question_marks,discrete,235795,235783,99.99491083356305,235783,99.99491083356305,12,5.089166436947348e-05,0.0,0.9993211060295708,0.0
NoOfAmpersandInURL,number_of_ampersands,discrete,235795,232623,98.65476367183359,232623,98.65476367183359,3172,0.04563710002332535,0.0,0.2388372692694959,0.0
NoOfOtherSpecialCharsInURL,special_character_count,discrete,235795,0,0.0,0,0.0,235795,3.934850187663012,4.0,0.9629647904114417,0.0
IsHTTPS,uses_https_text,discrete,235795,235302,99.79092007888208,235302,99.79092007888208,493,0.002090799211179202,0.0,0.9938949515840593,0.0
