row_index,label,supplied_feature,reconstructed_feature,supplied_value,reconstructed_value,absolute_error
0,1,URLLength,url_length,31.0,32.0,1.0
1,1,URLLength,url_length,23.0,24.0,1.0
2,1,URLLength,url_length,29.0,30.0,1.0
3,1,URLLength,url_length,26.0,27.0,1.0
4,1,URLLength,url_length,33.0,34.0,1.0
5261,0,DomainLength,domain_length,49.0,30.0,19.0
22183,0,DomainLength,domain_length,52.0,48.0,4.0
38747,0,DomainLength,domain_length,36.0,32.0,4.0
51595,0,DomainLength,domain_length,20.0,15.0,5.0
53016,0,DomainLength,domain_length,18.0,13.0,5.0
2614,0,IsDomainIP,domain_is_ip,1.0,0.0,1.0
10684,0,IsDomainIP,domain_is_ip,1.0,0.0,1.0
27891,0,IsDomainIP,domain_is_ip,1.0,0.0,1.0
29362,0,IsDomainIP,domain_is_ip,1.0,0.0,1.0
47147,0,IsDomainIP,domain_is_ip,1.0,0.0,1.0
125,0,NoOfSubDomain,number_of_subdomains,2.0,0.0,2.0
401,0,NoOfSubDomain,number_of_subdomains,2.0,0.0,2.0
1205,0,NoOfSubDomain,number_of_subdomains,2.0,0.0,2.0
1362,0,NoOfSubDomain,number_of_subdomains,2.0,0.0,2.0
2481,0,NoOfSubDomain,number_of_subdomains,2.0,0.0,2.0
0,1,NoOfLettersInURL,number_of_letters,18.0,27.0,9.0
1,1,NoOfLettersInURL,number_of_letters,9.0,18.0,9.0
2,1,NoOfLettersInURL,number_of_letters,15.0,24.0,9.0
3,1,NoOfLettersInURL,number_of_letters,13.0,22.0,9.0
4,1,NoOfLettersInURL,number_of_letters,20.0,29.0,9.0
0,1,LetterRatioInURL,letter_ratio,0.581,0.84375,0.26275000000000004
1,1,LetterRatioInURL,letter_ratio,0.391,0.75,0.359
2,1,LetterRatioInURL,letter_ratio,0.517,0.8,0.28300000000000003
3,1,LetterRatioInURL,letter_ratio,0.5,0.8148148148148148,0.31481481481481477
4,1,LetterRatioInURL,letter_ratio,0.606,0.8529411764705882,0.24694117647058822
277,0,NoOfDegitsInURL,number_of_digits,17.0,18.0,1.0
381,0,NoOfDegitsInURL,number_of_digits,3.0,4.0,1.0
681,0,NoOfDegitsInURL,number_of_digits,15.0,16.0,1.0
858,0,NoOfDegitsInURL,number_of_digits,8.0,9.0,1.0
1093,0,NoOfDegitsInURL,number_of_digits,31.0,32.0,1.0
13,1,DegitRatioInURL,digit_ratio,0.1,0.09523809523809523,0.004761904761904773
20,0,DegitRatioInURL,digit_ratio,0.269,0.25925925925925924,0.009740740740740772
28,0,DegitRatioInURL,digit_ratio,0.062,0.06060606060606061,0.0013939393939393918
29,0,DegitRatioInURL,digit_ratio,0.154,0.14814814814814814,0.005851851851851858
31,0,DegitRatioInURL,digit_ratio,0.077,0.07608695652173914,0.0009130434782608637
412,0,NoOfEqualsInURL,number_of_equal_signs,2.0,3.0,1.0
2266,0,NoOfEqualsInURL,number_of_equal_signs,2.0,3.0,1.0
3327,0,NoOfEqualsInURL,number_of_equal_signs,0.0,1.0,1.0
3832,0,NoOfEqualsInURL,number_of_equal_signs,0.0,1.0,1.0
4703,0,NoOfEqualsInURL,number_of_equal_signs,2.0,3.0,1.0
4681,0,NoOfQMarkInURL,number_of_question_marks,0.0,1.0,1.0
11767,0,NoOfQMarkInURL,number_of_question_marks,0.0,1.0,1.0
29144,0,NoOfQMarkInURL,number_of_question_marks,0.0,1.0,1.0
40490,0,NoOfQMarkInURL,number_of_question_marks,0.0,1.0,1.0
82874,0,NoOfQMarkInURL,number_of_question_marks,0.0,1.0,1.0
77,0,NoOfAmpersandInURL,number_of_ampersands,3.0,0.0,3.0
91,0,NoOfAmpersandInURL,number_of_ampersands,0.0,1.0,1.0
167,0,NoOfAmpersandInURL,number_of_ampersands,0.0,1.0,1.0
212,0,NoOfAmpersandInURL,number_of_ampersands,0.0,1.0,1.0
352,0,NoOfAmpersandInURL,number_of_ampersands,0.0,1.0,1.0
0,1,NoOfOtherSpecialCharsInURL,special_character_count,1.0,5.0,4.0
1,1,NoOfOtherSpecialCharsInURL,special_character_count,2.0,6.0,4.0
2,1,NoOfOtherSpecialCharsInURL,special_character_count,2.0,6.0,4.0
3,1,NoOfOtherSpecialCharsInURL,special_character_count,1.0,5.0,4.0
4,1,NoOfOtherSpecialCharsInURL,special_character_count,1.0,5.0,4.0
401,0,IsHTTPS,uses_https_text,1.0,0.0,1.0
1205,0,IsHTTPS,uses_https_text,1.0,0.0,1.0
1362,0,IsHTTPS,uses_https_text,1.0,0.0,1.0
2481,0,IsHTTPS,uses_https_text,1.0,0.0,1.0
2530,0,IsHTTPS,uses_https_text,1.0,0.0,1.0
