feature,importance
uses_https_text,0.5327467127172119
number_of_slashes,0.4243616803188132
url_length,0.021196777946944693
number_of_dots,0.01040774225402166
letter_ratio,0.002714386662301922
number_of_digits,0.002475451527560998
digit_ratio,0.0023534022808937858
special_character_count,0.0011813860622937756
number_of_hyphens,0.0008999113493733504
number_of_letters,0.0005896945877990227
domain_length,0.0003780097994857715
number_of_subdomains,0.00033708195093117656
has_suspicious_keyword,0.0002497655699724197
suspicious_keyword_count,0.00010799697239644376
query_length,0.0
number_of_question_marks,0.0
number_of_underscores,0.0
path_length,0.0
number_of_equal_signs,0.0
number_of_ampersands,0.0
number_of_percent_symbols,0.0
number_of_at_symbols,0.0
has_port,0.0
domain_is_ip,0.0
number_of_query_parameters,0.0
known_shortener_domain,0.0
