comparison_type,track,tier,metric,observed,ci_lower,ci_upper,difference,difference_percentage_points,baseline_tier,comparison_tier,bootstrap_iterations,bootstrap_seed
condition,equal_tuning,A,accuracy,1.0,1.0,1.0,,,,,1000,20260821
condition,equal_tuning,A,phishing_recall,1.0,1.0,1.0,,,,,1000,20260821
condition,equal_tuning,A,phishing_f1,1.0,1.0,1.0,,,,,1000,20260821
condition,fixed_tree,A,accuracy,1.0,1.0,1.0,,,,,1000,20260821
condition,fixed_tree,A,phishing_recall,1.0,1.0,1.0,,,,,1000,20260821
condition,fixed_tree,A,phishing_f1,1.0,1.0,1.0,,,,,1000,20260821
condition,equal_tuning,B,accuracy,0.9998869098105739,0.999773112807464,0.9999717274526435,,,,,1000,20260821
condition,equal_tuning,B,phishing_recall,0.9997358341038172,0.9994691792183664,0.9999344749959542,,,,,1000,20260821
condition,equal_tuning,B,phishing_f1,0.9998678996036988,0.999733970031265,0.9999672702575795,,,,,1000,20260821
condition,fixed_tree,B,accuracy,0.9998586372632174,0.9997172745264349,0.9999717274526435,,,,,1000,20260821
condition,fixed_tree,B,phishing_recall,0.9997358341038172,0.9994697395256017,0.999934262856431,,,,,1000,20260821
condition,fixed_tree,B,phishing_f1,0.9998348799577292,0.9996710661490044,0.9999670630627036,,,,,1000,20260821
condition,equal_tuning,C,accuracy,0.9972575629064179,0.9966921119592875,0.9977947413061917,,,,,1000,20260821
condition,equal_tuning,C,phishing_recall,0.9945845991282526,0.9933558999179206,0.9956874030586724,,,,,1000,20260821
condition,equal_tuning,C,phishing_f1,0.9967898864877387,0.9961576148197574,0.9973644807442835,,,,,1000,20260821
condition,fixed_tree,C,accuracy,0.9961549335595137,0.9955612100650268,0.9967769296013571,,,,,1000,20260821
condition,fixed_tree,C,phishing_recall,0.9926693963809272,0.9912559894518007,0.9939891141409117,,,,,1000,20260821
condition,fixed_tree,C,phishing_f1,0.9954963904894364,0.99471317299633,0.9962309121233519,,,,,1000,20260821
condition,equal_tuning,D-matched,accuracy,0.9968617472434267,0.9962962962962963,0.9974271981905569,,,,,1000,20260821
condition,equal_tuning,D-matched,phishing_recall,0.9941223088099327,0.992860188241377,0.995338117147975,,,,,1000,20260821
condition,equal_tuning,D-matched,phishing_f1,0.9963265711354535,0.9956178502753431,0.996964209384215,,,,,1000,20260821
condition,fixed_tree,D-matched,accuracy,0.9944303081707662,0.9936379700310998,0.9952219394967486,,,,,1000,20260821
condition,fixed_tree,D-matched,phishing_recall,0.9881125346717738,0.9863246248398376,0.9896942970712348,,,,,1000,20260821
condition,fixed_tree,D-matched,phishing_f1,0.9934597124929451,0.99250838620095,0.9943553363672388,,,,,1000,20260821
condition,equal_tuning,E,accuracy,0.995730845349166,0.9950523042126096,0.9963818207520497,,,,,1000,20260821
condition,equal_tuning,E,phishing_recall,0.9906221106855105,0.9891918381770731,0.9921864548657926,,,,,1000,20260821
condition,equal_tuning,E,phishing_f1,0.9949918742330272,0.9942069865344518,0.9957721111703245,,,,,1000,20260821
condition,fixed_tree,E,accuracy,0.995730845349166,0.9950523042126096,0.9963811139383658,,,,,1000,20260821
condition,fixed_tree,E,phishing_recall,0.9906221106855105,0.9890945998460454,0.9920949075988189,,,,,1000,20260821
