tier,track,feature_count,training_accuracy,validation_accuracy,test_accuracy,phishing_precision,phishing_recall,phishing_f1,roc_auc,confusion_matrix,true_phishing_predicted_phishing,true_phishing_predicted_legitimate,true_legitimate_predicted_phishing,true_legitimate_predicted_legitimate,tree_depth,number_of_leaves,training_time_seconds,test_prediction_time_seconds,params,cv_best_score
A,fixed_tree,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[15142, 0], [0, 20228]]",15142,0,0,20228,4,5,0.45763439999427646,0.029613099992275238,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'ccp_alpha': 0.0, 'random_state': 42}",
A,equal_tuning,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[15142, 0], [0, 20228]]",15142,0,0,20228,4,5,16.896507900033612,0.03419380000559613,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9999858475211933
B,fixed_tree,22,0.9999575901512214,0.9997455398795555,0.9998586372632174,0.9999339454389325,0.9997358341038172,0.9998348799577292,0.9998827851986756,"[[15138, 4], [1, 20227]]",15138,4,1,20227,10,26,0.3882677999790758,0.018154799996409565,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'ccp_alpha': 0.0, 'random_state': 42}",
B,equal_tuning,22,0.9999454730515703,0.9997738132262716,0.9998869098105739,1.0,0.9997358341038172,0.9998678996036988,0.9998664348080281,"[[15138, 4], [0, 20228]]",15138,4,0,20228,6,8,10.529377500002738,0.022550299996510148,"{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9999221576106582
C,fixed_tree,18,0.9966799146956185,0.9966071983940739,0.9961549335595137,0.9983395324123273,0.9926693963809272,0.9954963904894364,0.9979225878609529,"[[15031, 111], [25, 20203]]",15031,111,25,20203,10,154,0.2590573000488803,0.016781700018327683,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'ccp_alpha': 0.0, 'random_state': 42}",
C,equal_tuning,18,0.9983823671965878,0.9973423054086912,0.9972575629064179,0.9990049751243781,0.9945845991282526,0.9967898864877387,0.997079576345707,"[[15060, 82], [15, 20213]]",15060,82,15,20213,24,496,8.854488099983428,0.01813039998523891,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9964402511490472
D-matched,fixed_tree,18,0.9951349844901124,0.9950521643246911,0.9944303081707662,0.9988650777755524,0.9881125346717738,0.9934597124929451,0.9969187594143707,"[[14962, 180], [17, 20211]]",14962,180,17,20211,10,152,0.19499980000546202,0.014877300010994077,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'ccp_alpha': 0.0, 'random_state': 42}",
D-matched,equal_tuning,18,0.9981945521519969,0.9970030252480986,0.9968617472434267,0.9985406301824212,0.9941223088099327,0.9963265711354535,0.9968429201123831,"[[15053, 89], [22, 20206]]",15053,89,22,20206,24,564,8.872340200003237,0.022077100002206862,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.995992198007508
E,fixed_tree,26,0.9958741275688251,0.9953066244451356,0.995730845349166,0.9994003597841296,0.9906221106855105,0.9949918742330272,0.9979963588777018,"[[15000, 142], [9, 20219]]",15000,142,9,20219,10,72,0.19974710000678897,0.01974389998940751,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'ccp_alpha': 0.0, 'random_state': 42}",
E,equal_tuning,26,0.9958741275688251,0.9953066244451356,0.995730845349166,0.9994003597841296,0.9906221106855105,0.9949918742330272,0.9979963588777018,"[[15000, 142], [9, 20219]]",15000,142,9,20219,10,72,7.802586200006772,0.019166400015819818,"{'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9948125798723141
